hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y
800,200,9.29,800,49.26,800,55.16,-0.25,20800,0.794217736
300,200,1.11,300,20.68,225,15.51,0,11400,0.560791576
300,300,1.11,300,9.63,75,1.86,0,7200,0.525949145
667,1000,40,500,40,500,40,-0.25,22000,0.707354569
125,500,20,250,20,250,20,-1,9000,0.598910133
400,267,4.65,300,15.16,200,4.65,-1,4000,0.568214933
250,1000,40,1000,80,1000,76.32,0,6000,0.960751036
200,300,12,300,18.47,75,12,0,11400,0.536725434
267,400,1.92,300,10.74,100,3.21,-0.25,4800,0.564799013
240,600,24,300,24,300,24,0,4800,0.677972582
800,400,3.84,600,25.89,200,11.58,0.75,28800,0.587340129
200,600,2,600,41.37,600,43.58,-0.25,10800,0.766920263
700,200,8.13,525,30.39,525,18.79,-0.5,18200,0.685612196
500,500,2.4,375,23.09,250,12.63,-0.75,20000,0.57357147
600,240,2.23,450,16.11,300,10.74,0.25,19200,0.553236526
600,900,3,225,18,450,11.13,0.5,34200,0.437955789
500,125,20,500,21.58,375,20,-0.75,11000,0.687646297
400,114,1.92,300,8.53,100,3.58,-1,13600,0.415864741
700,175,2.93,525,40.07,350,18.97,1,5600,0.745863557
700,200,12.6,525,30.39,525,26.53,0.5,18200,0.646517153
300,900,16.2,450,19.42,900,28.89,0,10800,0.708388799
1000,333,3.33,250,6.18,250,17.24,1,12000,0.45544877
333,500,2.09,500,5,375,14.8,0,6000,0.629984198
286,1000,11.61,1000,61.58,1000,17.37,0.5,10000,0.862564131
700,467,12.6,700,27.63,175,12.6,0.5,25200,0.636416484
400,400,3.43,200,8.63,200,7.89,0,11200,0.434447654
1000,1000,5.62,250,8.03,750,51.71,-1,36000,0.665001188
75,300,12,300,12,150,12,-0.5,12000,0.498219656
400,800,32,600,32,600,32.53,-0.75,27200,0.697150151
267,800,5.43,600,12.63,200,6.42,0.5,19200,0.558365056
800,800,2.97,400,17.26,400,21.68,-0.75,30400,0.573334342
700,700,2.6,525,22.66,700,7,0,23800,0.613232474
100,400,1.92,300,20.68,300,20.68,-0.5,11200,0.589757035
700,350,12.6,175,12.6,175,13.36,1,14000,0.425577385
900,900,6.11,225,6.11,900,32.21,-0.25,28800,0.606343125
500,125,2.4,500,25.26,375,23.09,-0.75,16000,0.667795333
240,600,3.38,450,29.37,300,24,-0.75,22800,0.62151172
900,360,3,225,16.34,225,11.37,0.25,34200,0.417526489
667,1000,4.19,1000,57.89,750,21.32,0.25,36000,0.75255688
900,900,10.45,450,26.05,675,46.54,-0.5,7200,0.786459375
171,600,2,150,8.68,150,7.03,1,2400,0.508310664
1000,1000,8.57,500,10.53,750,13.03,0.5,12000,0.632917709
1000,1000,6.79,500,34.47,250,11.71,-0.25,24000,0.657664594
533,800,3.35,600,48,400,27.58,0,12800,0.756312253
267,400,1.33,200,13.79,400,29.05,-0.25,4000,0.642070163
900,360,7.71,450,19.42,225,13.03,0.75,16200,0.577330745
667,1000,8.57,250,17.24,1000,50.53,-0.25,14000,0.722257185
300,100,12,75,12,150,12,0.75,10800,0.372482746
1000,500,5.62,500,23.42,1000,46.84,0.5,30000,0.675057618
86,300,1.26,225,11.37,75,4.07,0,9000,0.445589329
600,400,24,450,24,450,27.71,0.25,9600,0.681135647
229,800,4.5,400,26.11,600,45.79,0.75,28800,0.624499066
1000,1000,11.61,500,40,250,11.61,-0.5,24000,0.669650955
700,200,6,700,12.16,700,12.16,0.75,11200,0.650824851
800,800,2.67,200,13.05,600,48,-0.25,16000,0.650976346
600,200,5.14,450,5.14,600,8.21,-1,13200,0.567824672
200,500,2.09,125,9.54,250,9.87,0.5,2000,0.525494669
500,143,9,125,9,250,9,0.75,14000,0.377392742
1000,500,5.62,1000,54.21,500,32.63,0.75,40000,0.717636059
400,800,32,400,32,600,32,0,20800,0.659159108
900,360,7.71,450,7.71,675,54,0.25,14400,0.689385334
114,400,16,100,16,300,21.79,-0.5,15200,0.532408886
114,400,1.48,100,6.89,100,8,0,15200,0.2848179
400,1000,8.57,500,40,750,26.84,1,22000,0.644742888
700,350,6,175,8.2,525,28.46,-0.5,26600,0.555968282
500,167,2.81,250,5.26,250,5.26,0,18000,0.385488458
267,800,4.5,800,52.21,400,4.5,-0.75,24000,0.72350265
450,900,7.71,675,29.13,450,17.76,0.25,14400,0.709120931
250,500,1.67,375,14.8,500,27.11,-0.25,7000,0.667661352
75,300,1.69,150,2.05,150,2.61,0.5,3000,0.3589639
1000,1000,6.79,500,19.74,750,21.32,-1,36000,0.624285246
700,233,28,525,28,350,28,0.5,7000,0.728179382
700,700,3.36,525,34.26,175,8.2,0,7000,0.768868908
800,800,3.84,400,24.63,600,41.37,-1,16000,0.700573134
700,280,12.6,700,25.05,700,50.84,-0.25,26600,0.715758027
400,160,2.25,100,2.25,200,5.68,-1,2400,0.442486813
160,400,2.25,400,32,200,12.32,0.75,9600,0.62218351
400,200,2.72,300,22.89,300,8.53,0,13600,0.55733011
900,600,3.34,900,68.68,900,32.21,0.5,7200,0.907721538
233,700,3.94,175,8.84,350,15.11,1,25200,0.405989923
400,600,5.14,600,30.32,450,36,0.25,24000,0.653488271
500,167,5.81,250,12.63,250,14.47,-1,18000,0.498903538
533,800,4.5,400,26.11,400,18.74,-0.75,3200,0.814983078
800,267,32,800,46.32,600,41.37,0.75,8000,0.817536091
400,1000,6.79,750,51.71,250,17.24,-1,16000,0.700246346
900,450,10.45,900,62.05,900,65.37,0,18000,0.836400938
500,500,2.81,125,7.7,500,17.89,0.25,3000,0.552271299
300,200,1.44,225,13.86,300,11.84,1,6000,0.50605716
900,600,4.32,900,22.26,450,24.39,0.5,21600,0.695771286
200,500,1.67,125,7.24,125,2.17,-0.25,2000,0.51330971
600,300,24,300,24,150,24,-0.5,4800,0.69362284
800,800,2.67,400,9.89,800,13.89,0.5,22400,0.523105783
360,900,3.34,450,11.13,675,26.64,0.75,32400,0.553308198
500,167,5.81,125,5.81,500,32.63,-0.25,10000,0.608820553
300,75,3.48,225,4.74,150,3.48,-0.5,9000,0.425100211
400,267,7.2,400,24.63,100,7.2,-0.25,1600,0.768398371
1000,333,18,500,28.95,500,18,0.25,22000,0.633068456
467,700,28,700,50.84,175,28,0.5,4200,0.872233829
700,700,3.94,350,11.24,350,20.26,0,12600,0.57528907
800,533,3.84,600,45.79,600,14.84,0.25,27200,0.676835384
250,1000,5.62,500,17.89,500,5.62,0.5,40000,0.505009979
500,250,3.4,375,16.18,250,14.47,0.25,16000,0.541736819
600,600,2.23,600,32.53,600,41.37,0.75,6000,0.78650228
300,300,1.26,225,13.86,150,7.03,-0.75,4800,0.542287364
400,200,7.2,400,27.58,100,7.2,0.25,10400,0.621649269
143,500,2.4,125,7.24,125,6.32,0.5,10000,0.324282535
600,171,6.97,300,21.79,600,14.84,0.25,4800,0.670517861
700,700,12.6,175,12.6,175,12.6,-0.5,8400,0.531077739
133,400,1.33,200,13.05,400,11.37,1,11200,0.460085306
150,600,10.8,150,11.45,600,19.26,-0.25,13200,0.592597111
250,1000,8.57,750,40.66,500,30.79,0,20000,0.724276443
600,400,24,300,24,450,24.39,1,8400,0.612482737
400,800,3.84,200,8.63,200,3.84,-0.25,30400,0.351426272
400,160,1.33,400,32,200,15.26,0.25,8800,0.655898191
900,900,36,225,36,900,36,-0.75,23400,0.683746209
600,900,6.11,675,21.67,675,16.7,-1,21600,0.685470113
500,500,2.4,375,7.89,250,20,-0.5,16000,0.545558057
75,300,1.11,300,16.26,150,1.5,1,6600,0.518506638
500,250,9,125,9,500,32.63,-0.5,1000,0.720045425
200,500,1.67,250,10.79,125,6.32,0.25,18000,0.411785135
300,900,6.11,450,7.82,675,41.57,0.5,36000,0.611229261
300,100,12,150,12,225,12,-0.75,10800,0.478453507
300,86,1.69,225,11.37,225,10.54,-0.25,5400,0.544112189
300,300,2.57,300,15.16,225,8.88,0.5,2400,0.676973056
700,700,28,700,50.84,525,30.39,1,23800,0.697737921
800,800,5.43,800,40.42,800,28.63,1,9600,0.800835803
500,167,2.81,375,20.33,250,2.81,-0.25,13000,0.596645385
150,300,1.44,300,18.47,300,6.32,0.5,7800,0.551086392
500,125,2.81,125,10,125,5.39,0,1000,0.621861315
300,200,3.48,225,8.05,75,4.34,0.75,2400,0.555283993
600,200,2.23,450,19.42,450,12.79,-1,10800,0.640538065
1000,500,4.8,750,18.55,500,6.84,-0.5,24000,0.657504219
400,200,1.92,100,5.79,100,6.53,0.25,4000,0.37408324
400,133,1.33,300,16.26,100,1.74,-0.5,13600,0.53783316
300,100,1.44,225,13.03,150,8.13,0.5,9600,0.455397125
100,400,1.92,200,5.68,200,4.21,0.75,7200,0.38755097
500,333,9,500,17.89,125,9,0.75,16000,0.565859602
800,267,14.4,200,14.4,600,14.4,0.5,3200,0.629531981
250,500,20,500,20,125,20,-1,20000,0.565991455
700,350,8.13,525,36.2,700,9.58,0,11200,0.723988533
900,300,3.77,900,28.89,900,48.79,0.75,34200,0.695317262
1000,1000,4.8,1000,68.95,1000,80,0.5,22000,0.833340306
333,1000,5.62,250,5.62,1000,68.95,0.5,40000,0.718496337
800,200,3.35,400,27.58,400,12.84,1,30400,0.525727504
400,133,1.92,200,16,400,18.74,1,16000,0.488259326
1000,667,8.57,750,40.66,750,57.24,-0.75,16000,0.820253662
350,700,8.13,700,40.53,350,26.71,0.75,5600,0.813701406
300,900,3.77,675,24.16,450,12.79,1,9000,0.714544257
150,600,24,150,24,600,24,0.75,13200,0.590922579
133,400,3.43,100,6.53,400,23.16,-1,12800,0.586910471
500,500,2.81,250,20,250,6.18,0.5,12000,0.513793462
400,114,1.48,300,14.05,300,12.95,0.5,8000,0.544166041
